lr,env_num_layers,"metric(trainAcc,valAcc,testAcc)"
0.01,1,"(1.0, 0.7239999771118164, 0.7061068415641785)"
0.01,2,"(0.9928571581840515, 0.7879999876022339, 0.7694656252861023)"
0.01,3,"(0.9785714149475098, 0.6980000138282776, 0.6862595677375793)"
0.01,4,"(0.6142857074737549, 0.46000000834465027, 0.4290076196193695)"
0.01,5,"(0.24285714328289032, 0.34200000762939453, 0.28549617528915405)"
0.001,1,"(0.8785714507102966, 0.6079999804496765, 0.580152690410614)"
0.001,2,"(0.1428571492433548, 0.164000004529953, 0.14580152928829193)"
0.001,3,"(0.5714285969734192, 0.5, 0.42748090624809265)"
0.001,4,"(0.3499999940395355, 0.41200000047683716, 0.32748091220855713)"
0.001,5,"(0.20714285969734192, 0.33000001311302185, 0.2557252049446106)"
